price,ac,size,age,nbhd,yard,pool,bedrms,baths
107,0,736,39,4,3364,0,2,1
133,0,720,63,3,1780,0,2,1
141,0,768,66,2,6532,0,2,1
165,0,929,41,3,2747,0,3,1
170,0,1080,44,2,5520,0,3,1
173,0,942,65,2,6808,0,2,1
182,0,1000,40,2,6100,0,3,1
200,0,1472,66,1,5328,0,3,2
220,0,1200,69,1.5,5850,0,3,1
226,0,1302,49,2,5298,0,3,2
260,1,2109,37,2,3691,0,3,2
275,0,1528,41,1,5860,0,2,2
280,0,1421,41,1,6679,1,3,2
289,1,1753,1,1,2304,0,3,2
295,0,1528,32,1,6292,0,3,2
300,0,1643,29,1,7127,1,3,2
310,0,1675,63,1,9025,0,3,2
315,1,1714,38,1,6466,0,3,2
350,0,2150,75,2,14825,0,4,2
365,1,2206,28,1,8147,0,4,2.5
503,1,3269,5,1,10045.5,0,4,2.5
135,0,936,75,4,5054,0,2,1
147,0,728,40,3,1922,0,2,1
165,0,1014,26,3,6416,0,2,1
175,1,1661,27,3,4939,0,3,2
190,0,1248,42,2,7952,0,3,1
191,0,1834,40,3.5,6710,1,3,2
195,0,989,41,2,5911,0,3,1
205,0,1232,43,1,4618,0,2,2
210,0,1017,38,1,5083,0,2,1
215,0,1216,77,2,6834,0,2,1
228,0,1447,44,2,4143,0,2,2
242,0,1974,65,1.5,5499,1,4,2
250,1,1600,63,1.5,4050,0,3,2
250,0,1168,63,1.5,5182,1,3,1
255,0,1478,50,1,4122,0,3,2
255,0,1756,36,2,6420,1,3,2
265,0,1542,38,2,6833,0,3,2
265,0,1633,32,1,7117,1,4,2
275,1,1500,42,1,7406,0,2,2
285,0,1734,62,1,8583,1,3,2
365,1,1900,42,1,19580,0,3,2
397,1,2468,10,1,6086,0,4,2.5
